GEOIDFQ,NAME,GEOTYPE,YEAR,Number of sales,Median home sale price (2023 dollars),Median home sale price (year-of dollars),Median income (2023 dollars),Median income (year-of dollars),Median income MOE (year-of dollars),Mean income (2023 dollars),Mean income (year-of dollars),Mean income MOE (year-of dollars),Median sale price/income ratio (MSA med inc),Median sale price/income ratio (geography med inc)
0500000US39127,Perry County,COUNTY,2018,254,163146,134450,,,,,,,2.0990757509523514,
0500000US39127,Perry County,COUNTY,2019,264,158515,133000,,,,,,,1.9789605249453182,
0500000US39127,Perry County,COUNTY,2020,223,215449,183000,,,,,,,2.6322224299871984,
0500000US39127,Perry County,COUNTY,2021,287,202295,179900,,,,,,,2.5042108047161014,
0500000US39127,Perry County,COUNTY,2022,268,202611,194600,,,,,,,2.5680615490188314,
0500000US39127,Perry County,COUNTY,2023,236,231925,231925,,,,,,,2.9968342163070165,
0500000US39129,Pickaway County,COUNTY,2012,379,163237,123000,,,,,,,2.2905454477737015,
0500000US39129,Pickaway County,COUNTY,2013,525,168729,129000,,,,,,,2.385399138297676,
0500000US39129,Pickaway County,COUNTY,2014,553,180193,140000,,,,,,,2.483546504408295,
0500000US39129,Pickaway County,COUNTY,2015,572,179851,139900,,,,,,,2.404110530657135,
0500000US39129,Pickaway County,COUNTY,2016,659,190306,149900,,,,,,,2.486151192490132,
0500000US39129,Pickaway County,COUNTY,2017,728,204423,164450,,,,,,,2.579041465403676,
0500000US39129,Pickaway County,COUNTY,2018,684,209803,172900,,,,,,,2.6993692624742396,
0500000US39129,Pickaway County,COUNTY,2019,697,227641,191000,,,,,,,2.841965866650795,
0500000US39129,Pickaway County,COUNTY,2020,700,253153,215026,,,,,,,3.0928757389640835,
0500000US39129,Pickaway County,COUNTY,2021,814,284494,253000,,,,,,,3.5217569843678227,
0500000US39129,Pickaway County,COUNTY,2022,876,296987,285245,,,,,,,3.7642688414690477,
0500000US39129,Pickaway County,COUNTY,2023,719,300000,300000,,,,,,,3.876469828143171,
0500000US39141,Ross County,COUNTY,2012,67,74320,56000,57002,42951,3233,71923,54194,3592,1.0428499599620102,1.3038113198761379
0500000US39141,Ross County,COUNTY,2013,89,89596,68500,52964,40493,4430,69051,52792,3869,1.2666654339022543,1.6916504087126172
0500000US39141,Ross County,COUNTY,2014,94,76196,59200,52467,40764,3566,73249,56910,4891,1.0501853790069362,1.452261799627122
0500000US39141,Ross County,COUNTY,2015,122,147198,114500,57731,44907,3656,73056,56828,4094,1.9676244157272476,2.549713853074131
0500000US39141,Ross County,COUNTY,2016,190,168533,132750,58935,46422,5613,79230,62408,5656,2.2017116130958305,2.859635517642497
0500000US39141,Ross County,COUNTY,2017,170,161599,130000,63040,50713,5345,74103,59613,4009,2.0387679568408505,2.5634452704434763
0500000US39141,Ross County,COUNTY,2018,182,175038,144250,56751,46769,6245,72944,60114,6447,2.252076437894211,3.0843079817828047
0500000US39141,Ross County,COUNTY,2019,197,178776,150000,66406,55717,10074,83784,70298,7211,2.231910366479682,2.6921765349893207
0500000US39141,Ross County,COUNTY,2020,214,194257,165000,62464,53056,0,84131,71460,0,2.373315305726162,3.1099215922798553
0500000US39141,Ross County,COUNTY,2021,288,214215,190500,56668,50395,5454,81661,72621,6931,2.6517629699745267,3.780136918345074
0500000US39141,Ross County,COUNTY,2022,259,208233,200000,62633,60157,3986,78369,75271,9421,2.6393232775116457,3.324633874694549
0500000US39141,Ross County,COUNTY,2023,263,215000,215000,60666,60666,5312,78042,78042,7619,2.7781367101692727,3.5439949889559226
0500000US39159,Union County,COUNTY,2012,608,207033,156000,,,,,,,2.9050820313227432,
0500000US39159,Union County,COUNTY,2013,827,222250,169919,,,,,,,3.142051443258936,
0500000US39159,Union County,COUNTY,2014,777,227172,176500,,,,,,,3.1310425573433145,
0500000US39159,Union County,COUNTY,2015,890,248115,193000,,,,,,,3.316607093758592,
0500000US39159,Union County,COUNTY,2016,950,265337,209000,,,,,,,3.466348227020931,
0500000US39159,Union County,COUNTY,2017,1005,289411,232819,,,,,,,3.6512608995671543,
0500000US39159,Union County,COUNTY,2018,884,296321,244200,,,,,,,3.81252732155124,
0500000US39159,Union County,COUNTY,2019,958,327756,275000,,,,,,,4.0918356718794175,
0500000US39159,Union County,COUNTY,2020,1009,335535,285000,,,,,,,4.099362800799735,
0500000US39159,Union County,COUNTY,2021,1121,391321,348000,,,,,,,4.844165425465277,
0500000US39159,Union County,COUNTY,2022,904,406002,389950,108484,104195,9635,123878,118980,8849,5.146020560328332,3.742502039445271
0500000US39159,Union County,COUNTY,2023,887,418750,418750,101968,101968,10180,132132,132132,11693,5.410905801783176,4.106680527224227
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2012,33,404776,305000,,,,,,,5.679807817650236,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2013,37,451251,345000,,,,,,,6.379555834982156,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2014,45,379693,295000,,,,,,,5.23318727714605,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2015,57,454346,353420,,,,,,,6.073343414902392,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2016,46,491080,386812,,,,,,,6.415439347198727,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2017,53,495974,398990,,,,,,,6.257292516153315,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2018,65,491441,405000,,,,,,,6.322987572597265,
